image,candidate_num,rating,vessel_ok,class,centre,radius,blob_score,blob_contrast,blob_brightness,blob_response,final_score,vessel_centre
normal_0009_EDD,3,3,9,normal,"[178.0, 236.0]",90.50966799187808,0.7977239489555359,0.096982717514038,0.9700055718421936,-0.1086866557598114,0.0654995903558951,"[101.0, 201.0]"
normal_0010_EDD,0,3,9,normal,"[256.0, 240.0]",114.03503592196344,0.8571806550025939,0.1962349414825439,0.9173105359077454,-0.0941416919231414,0.5767992384280938,"[283.0, 200.0]"
normal_0010_EDD,1,1,9,normal,"[297.0, 196.0]",45.254833995939045,0.7964749991893768,0.089638352394104,0.9719565510749816,-0.1323353052139282,0.6782615580941562,"[283.0, 200.0]"
normal_0010_EDD,2,4,9,normal,"[227.0, 286.0]",57.01751796098172,0.7519944667816162,0.0688663125038147,0.950773537158966,-0.0879333913326263,-0.7998947789268693,"[283.0, 200.0]"
normal_0010_EDD,3,3,9,normal,"[270.0, 230.0]",90.50966799187808,0.797446471452713,0.1256725192070007,0.9331653714179992,-0.0927909612655639,0.6387616243219721,"[283.0, 200.0]"
normal_0011_EDD,0,1,9,normal,"[140.0, 186.0]",45.254833995939045,0.8923809587955475,0.1831188201904297,0.9723209738731384,-0.1431872844696045,0.5848334295129243,"[123.0, 178.0]"
normal_0011_EDD,1,4,9,normal,"[255.0, 193.0]",35.918785545899944,0.648344075679779,0.0399166941642761,0.8588418960571289,-0.0361902713775634,-2.698608873708752,"[123.0, 178.0]"
normal_0012_EDD,0,2,9,normal,"[332.0, 204.0]",71.83757109179989,0.8381584703922271,0.1551316380500793,0.9361669421195984,-0.1385498642921447,0.8500738617609189,"[342.0, 208.0]"
normal_0013_EDD,0,1,9,normal,"[475.0, 197.0]",35.918785545899944,0.9703651905059816,0.2708573341369629,0.9553581476211548,-0.153785765171051,0.3590616019847431,"[498.0, 198.0]"
normal_0013_EDD,1,4,9,normal,"[375.0, 272.0]",35.918785545899944,0.536263033747673,0.0250608921051025,0.7272347807884216,-0.0106889754533767,-2.9963605681820407,"[498.0, 198.0]"
normal_0013_EDD,2,4,9,normal,"[420.0, 281.0]",35.918785545899944,0.5509942978620529,0.0329417586326599,0.736629843711853,-0.0120582431554794,-2.1710169596195854,"[498.0, 198.0]"
normal_0013_EDD,3,4,9,normal,"[400.0, 285.0]",45.254833995939045,0.5589782923460006,0.0441104173660278,0.7317403554916382,-0.0132481306791305,-1.895730288934036,"[498.0, 198.0]"
normal_0014_EDD,0,3,9,normal,"[184.0, 168.0]",90.50966799187808,0.8112399518489837,0.0983172059059143,0.9796553254127502,-0.1358200907707214,0.3565231161883125,"[128.0, 184.0]"
normal_0015_EDD,0,1,9,normal,"[313.0, 218.0]",45.254833995939045,0.8221842944622039,0.1547310948371887,0.9144782423973083,-0.136592149734497,0.5658611253296937,"[294.0, 213.0]"
normal_0016_EDD,0,1,9,normal,"[139.0, 194.0]",57.01751796098172,0.847087961435318,0.1580784916877746,0.9446712136268616,-0.1386981010437011,0.5261366482016645,"[118.0, 211.0]"
normal_0017_EDD,0,1,9,normal,"[136.0, 177.0]",35.918785545899944,0.8739383697509765,0.1542038321495056,0.9879382848739624,-0.1408886909484863,0.1284518335122147,"[122.0, 205.0]"
normal_0017_EDD,1,4,9,normal,"[220.0, 223.0]",35.918785545899944,0.6781491756439209,0.0307852625846862,0.9150182008743286,-0.0342558622360229,-1.7740177776701818,"[122.0, 205.0]"
normal_0018_EDD,0,1,9,normal,"[472.0, 177.0]",35.918785545899944,0.8636228501796721,0.1483548283576965,0.9830288290977478,-0.1357392072677612,0.6887327976829338,"[483.0, 179.0]"
normal_0018_EDD,1,4,9,normal,"[400.0, 257.0]",45.254833995939045,0.6866068482398987,0.0436114072799682,0.905434787273407,-0.0459554493427276,-1.516837828754566,"[483.0, 179.0]"
normal_0019_EDD,0,1,9,normal,"[506.0, 202.0]",45.254833995939045,0.8335843443870544,0.1322871446609497,0.963010549545288,-0.1359490752220153,0.6656103975151142,"[521.0, 204.0]"
normal_0020_EDD,0,2,9,normal,"[170.0, 192.0]",71.83757109179989,0.7970684587955474,0.1080324649810791,0.9480791091918944,-0.126903086900711,0.5330991965244009,"[137.0, 186.0]"
normal_0021_EDD,0,2,9,normal,"[304.0, 174.0]",71.83757109179989,0.8258476674556732,0.1229729056358337,0.9650081992149352,-0.1368451118469238,0.8412842461443847,"[295.0, 181.0]"
normal_0022_EDD,0,1,9,normal,"[498.0, 222.0]",45.254833995939045,0.8280534923076629,0.1327899098396301,0.9510035514831544,-0.1478054821491241,0.4116196755074147,"[513.0, 244.0]"
normal_0022_EDD,1,4,9,normal,"[406.0, 174.0]",35.918785545899944,0.7153635323047638,0.045450747013092,0.937568426132202,-0.0680744349956512,-2.5597865076151503,"[513.0, 244.0]"
normal_0022_EDD,2,4,9,normal,"[386.0, 254.0]",35.918785545899944,0.6744564116001128,0.0253793597221374,0.9186195731163024,-0.0302167534828186,-2.546698210929442,"[513.0, 244.0]"
normal_0023_EDD,0,3,9,normal,"[182.0, 210.0]",90.50966799187808,0.8116007685661315,0.1260014176368713,0.9488484859466552,-0.1070270538330078,0.4599759481629545,"[140.0, 185.0]"
normal_0023_EDD,1,4,9,normal,"[243.0, 172.0]",35.918785545899944,0.7304203450679778,0.03943932056427,0.9659153819084167,-0.0742012858390808,-1.8903300979733453,"[140.0, 185.0]"
normal_0023_EDD,2,1,9,normal,"[145.0, 183.0]",35.918785545899944,0.8106234729290008,0.0952913165092468,0.9888564944267272,-0.1156630516052246,0.8500738617609189,"[140.0, 185.0]"
normal_0024_EDD,0,2,9,normal,"[314.0, 212.0]",71.83757109179989,0.7683420777320861,0.0830070376396179,0.94381445646286,-0.1233246028423309,0.7215941505811441,"[334.0, 212.0]"
normal_0025_EDD,0,3,0,normal,"[438.0, 200.0]",90.50966799187808,0.8086178541183472,0.117130160331726,0.9598009586334229,-0.0981351137161254,0.1712855871139926,"[493.0, 251.0]"
normal_0025_EDD,1,4,0,normal,"[370.0, 273.0]",35.918785545899944,0.7170088708400726,0.0257683396339416,0.96915864944458,-0.0641473829746246,-2.4787365129810848,"[493.0, 251.0]"
normal_0025_EDD,2,4,0,normal,"[388.0, 190.0]",45.254833995939045,0.738372141122818,0.0398188233375549,0.9753664135932922,-0.0789841413497924,-1.6833179670885072,"[493.0, 251.0]"
normal_0025_EDD,3,1,0,normal,"[480.0, 195.0]",45.254833995939045,0.7870105624198913,0.0760363340377807,0.9809895753860474,-0.1214076280593872,-0.2703422890111151,"[493.0, 251.0]"
normal_0026_EDD,0,3,9,normal,"[196.0, 212.0]",114.03503592196344,0.8611251771450041,0.1633895635604858,0.9605250954627992,-0.1268402338027954,0.4389745424320842,"[138.0, 185.0]"
normal_0026_EDD,1,1,9,normal,"[142.0, 182.0]",35.918785545899944,0.7764720261096953,0.0662007927894592,0.9861395955085754,-0.0998675823211669,0.860797075290572,"[138.0, 185.0]"
normal_0026_EDD,2,4,9,normal,"[160.0, 260.0]",35.918785545899944,0.7302148640155791,0.0268126726150512,0.98487788438797,-0.0699383616447448,-1.1760226836956171,"[138.0, 185.0]"
normal_0026_EDD,3,4,9,normal,"[251.0, 170.0]",45.254833995939045,0.7559288084506988,0.0462831258773803,0.9871934056282043,-0.0930514931678772,-1.5188740664233291,"[138.0, 185.0]"
normal_0027_EDD,0,1,9,normal,"[488.0, 210.0]",45.254833995939045,0.8311423003673553,0.1238089203834533,0.9698469042778016,-0.1422027349472046,0.5647378663379963,"[506.0, 202.0]"
normal_0027_EDD,1,4,9,normal,"[382.0, 179.0]",35.918785545899944,0.6655769854784012,0.0254068374633789,0.9062897562980652,-0.0288365930318832,-2.5111161177552144,"[506.0, 202.0]"
normal_0027_EDD,2,4,9,normal,"[382.0, 306.0]",45.254833995939045,0.6745702654123306,0.0461843013763427,0.8901343941688538,-0.0264594405889511,-2.576179875229992,"[506.0, 202.0]"
normal_0028_EDD,0,3,9,normal,"[204.0, 224.0]",143.67514218359975,0.8267220199108124,0.1290607452392578,0.9790219664573668,-0.0617294907569885,0.364793701958275,"[129.0, 172.0]"
normal_0028_EDD,1,4,9,normal,"[271.0, 153.0]",35.918785545899944,0.7349193990230559,0.0225632190704345,0.996670663356781,-0.0734335780143737,-2.9885949828639875,"[129.0, 172.0]"
normal_0028_EDD,2,4,9,normal,"[113.0, 270.0]",35.918785545899944,0.7263362646102905,0.0279860496520996,0.9892144799232484,-0.0295003950595855,-1.7645013936108955,"[129.0, 172.0]"
normal_0028_EDD,3,4,9,normal,"[96.0, 219.0]",45.254833995939045,0.7329825937747955,0.0346042513847351,0.988426387310028,-0.0323993563652038,-0.2689962815154345,"[129.0, 172.0]"
normal_0028_EDD,4,2,9,normal,"[134.0, 163.0]",57.01751796098172,0.7433448255062103,0.0412269830703735,0.99229234457016,-0.0375660061836242,0.8194304047392502,"[129.0, 172.0]"
normal_0028_EDD,5,4,9,normal,"[243.0, 297.0]",57.01751796098172,0.7382301330566406,0.0316594839096069,0.9945752024650574,-0.0518400371074676,-1.9671130507149432,"[129.0, 172.0]"
normal_0028_EDD,6,2,9,normal,"[128.0, 180.0]",71.83757109179989,0.7517071545124054,0.0521532297134399,0.9885182976722716,-0.0379555821418762,0.8877710141675594,"[129.0, 172.0]"
normal_0028_EDD,7,4,9,normal,"[238.0, 290.0]",71.83757109179989,0.7546851098537444,0.0491821765899658,0.9930245280265808,-0.0519288182258605,-1.2361467010481046,"[129.0, 172.0]"
normal_0029_EDD,0,1,9,normal,"[109.0, 199.0]",45.254833995939045,0.8155364394187926,0.1037054061889648,0.977375030517578,-0.1383425593376159,0.5255554234159695,"[90.0, 209.0]"
normal_0029_EDD,1,4,9,normal,"[244.0, 162.0]",45.254833995939045,0.6970876276493072,0.0426191687583923,0.9243502616882324,-0.0371163785457611,-2.557905480229906,"[90.0, 209.0]"
normal_0029_EDD,2,4,9,normal,"[229.0, 180.0]",57.01751796098172,0.7013458758592606,0.047179639339447,0.9233533143997192,-0.0390945822000503,-1.4903391562749988,"[90.0, 209.0]"
normal_0030_EDD,0,1,9,normal,"[477.0, 181.0]",35.918785545899944,0.8396975100040436,0.1386578679084777,0.9598070979118348,-0.1458733677864074,0.4260516380281258,"[496.0, 189.0]"
normal_0030_EDD,1,3,9,normal,"[408.0, 210.0]",90.50966799187808,0.7654780685901642,0.1175559759140014,0.9035854339599608,-0.0770614445209503,0.0004273374023777,"[496.0, 189.0]"
normal_0031_EDD,0,2,9,normal,"[300.0, 198.0]",90.50966799187808,0.8227175831794739,0.1093842387199401,0.9797296524047852,-0.1376129388809204,0.6836178635731783,"[328.0, 204.0]"
normal_0032_EDD,0,3,9,normal,"[288.0, 228.0]",143.67514218359975,0.8906831562519073,0.1881529688835144,0.9853323698043824,-0.0639876425266265,0.8115611905449556,"[286.0, 201.0]"
normal_0032_EDD,1,4,9,normal,"[381.0, 248.0]",35.918785545899944,0.7296866357326507,0.0227205753326416,0.9942139387130736,-0.0550815165042877,-1.9508393451233328,"[286.0, 201.0]"
normal_0032_EDD,2,4,9,normal,"[223.0, 177.0]",45.254833995939045,0.7249405682086945,0.0204942226409912,0.99382883310318,-0.0438308119773864,-0.4897108045691283,"[286.0, 201.0]"
normal_0032_EDD,3,4,9,normal,"[220.0, 297.0]",45.254833995939045,0.7271218478679656,0.0232230424880981,0.9928085207939148,-0.0446642041206359,-1.5742869158273711,"[286.0, 201.0]"
normal_0032_EDD,4,4,9,normal,"[228.0, 293.0]",57.01751796098172,0.7372133314609527,0.0335041880607605,0.9922600388526917,-0.0456355810165405,-0.9074244703005944,"[286.0, 201.0]"
normal_0032_EDD,5,4,9,normal,"[234.0, 288.0]",71.83757109179989,0.7502440989017486,0.0478990674018859,0.9901655912399292,-0.0461455881595611,-0.4109025036698943,"[286.0, 201.0]"
normal_0033_EDD,0,3,9,normal,"[192.0, 216.0]",143.67514218359975,0.7917122721672057,0.0932343006134033,0.9800731539726256,-0.0621338188648223,0.3382368505295221,"[100.0, 192.0]"
normal_0033_EDD,1,4,9,normal,"[187.0, 122.0]",35.918785545899944,0.7227513015270233,0.0178473591804504,0.995081901550293,-0.0417330563068389,-2.108809913867723,"[100.0, 192.0]"
normal_0033_EDD,2,4,9,normal,"[377.0, 165.0]",35.918785545899944,0.7245980992913246,0.0309979319572448,0.985412061214447,-0.0190586224198341,-6.748390416377187,"[100.0, 192.0]"
normal_0033_EDD,3,1,9,normal,"[114.0, 201.0]",45.254833995939045,0.716782784461975,0.0163540840148925,0.993147611618042,-0.0261268615722656,0.6322311782518806,"[100.0, 192.0]"
normal_0033_EDD,4,4,9,normal,"[250.0, 155.0]",57.01751796098172,0.7327374219894409,0.0251052975654602,0.9948745965957642,-0.056099534034729,-1.7096225890667576,"[100.0, 192.0]"
normal_0033_EDD,5,4,9,normal,"[235.0, 316.0]",57.01751796098172,0.7467544078826903,0.040520429611206,0.99354487657547,-0.0537628233432769,-2.2149024029247686,"[100.0, 192.0]"
normal_0033_EDD,6,4,9,normal,"[238.0, 156.0]",71.83757109179989,0.7419003725051879,0.0357663035392761,0.9928219318389891,-0.0557935833930969,-0.9852894484114336,"[100.0, 192.0]"
normal_0034_EDD,0,2,9,normal,"[134.0, 206.0]",90.50966799187808,0.7986359119415283,0.1024304628372192,0.957671880722046,-0.1291756629943847,0.4366326132087517,"[96.0, 172.0]"
normal_0035_EDD,0,1,9,normal,"[128.0, 217.0]",35.918785545899944,0.8309688448905945,0.1176750659942627,0.9826582670211792,-0.1271649599075317,0.5074497719209882,"[116.0, 230.0]"
normal_0035_EDD,1,4,9,normal,"[238.0, 190.0]",45.254833995939045,0.7007285296916961,0.0532283186912536,0.9139955639839172,-0.0385165810585022,-1.8370456684727512,"[116.0, 230.0]"
normal_0035_EDD,2,4,9,normal,"[208.0, 289.0]",45.254833995939045,0.6976071476936341,0.0417873859405517,0.9234699606895448,-0.046953946352005,-1.4150609787850077,"[116.0, 230.0]"
normal_0036_EDD,0,1,9,normal,"[474.0, 215.0]",35.918785545899944,0.8129965722560881,0.113062560558319,0.9546170830726624,-0.1585102677345276,0.4048362715628576,"[478.0, 194.0]"
normal_0036_EDD,1,4,9,normal,"[359.0, 303.0]",35.918785545899944,0.7109660029411315,0.0446811318397522,0.935716450214386,-0.056416779756546,-3.492783829731972,"[478.0, 194.0]"
normal_0036_EDD,2,4,9,normal,"[361.0, 176.0]",45.254833995939045,0.7420044004917145,0.0578038692474365,0.9520793557167052,-0.0887249112129211,-1.6157762053069449,"[478.0, 194.0]"
normal_0036_EDD,3,4,9,normal,"[365.0, 297.0]",45.254833995939045,0.7164753854274749,0.0543197989463806,0.9302304983139038,-0.0549711883068084,-2.3786149621553503,"[478.0, 194.0]"
normal_0036_EDD,4,4,9,normal,"[384.0, 206.0]",114.03503592196344,0.7339031815528869,0.0924532413482666,0.9023961424827576,-0.0488632023334503,0.1690022179788212,"[478.0, 194.0]"
normal_0037_EDD,0,3,9,normal,"[260.0, 200.0]",71.83757109179989,0.7703905105590819,0.0623901486396789,0.9754009246826172,-0.1260985732078552,0.8318004661077157,"[265.0, 211.0]"
normal_0038_EDD,0,3,9,normal,"[304.0, 204.0]",114.03503592196344,0.8332729995250701,0.1192647218704223,0.9869609475135804,-0.115678071975708,0.5764359759049249,"[347.0, 182.0]"
normal_0038_EDD,1,4,9,normal,"[374.0, 242.0]",35.918785545899944,0.7233639121055602,0.0174365639686584,0.9911884069442748,-0.0604773163795471,-0.8317750892302733,"[347.0, 182.0]"
normal_0039_EDD,0,1,9,normal,"[137.0, 207.0]",45.254833995939045,0.8299996018409729,0.1449857950210571,0.938043475151062,-0.1419168710708618,0.6016391005005637,"[119.0, 208.0]"
normal_0039_EDD,1,4,9,normal,"[272.0, 181.0]",35.918785545899944,0.6510374039411544,0.0466229915618896,0.8537873029708862,-0.0338165014982223,-3.3254271032118217,"[119.0, 208.0]"
normal_0039_EDD,2,4,9,normal,"[265.0, 182.0]",45.254833995939045,0.6541063904762268,0.0525504946708679,0.8495759963989258,-0.0342634916305542,-2.2769316822295824,"[119.0, 208.0]"
normal_0040_EDD,0,1,9,normal,"[278.0, 210.0]",57.01751796098172,0.7726074218749999,0.0936846137046814,0.93388032913208,-0.1260328888893127,0.6663078599201646,"[259.0, 209.0]"
normal_0041_EDD,0,2,9,normal,"[278.0, 200.0]",71.83757109179989,0.7895717799663543,0.109057605266571,0.936270236968994,-0.1256250441074371,0.7181355602148427,"[259.0, 207.0]"
normal_0042_EDD,0,1,9,normal,"[132.0, 211.0]",57.01751796098172,0.8103898048400878,0.1261780261993408,0.9384018778800964,-0.1366523206233978,0.6137552749908222,"[110.0, 212.0]"
normal_0043_EDD,0,1,0,normal,"[474.0, 250.0]",45.254833995939045,0.8281242668628692,0.1312214732170105,0.9542377591133118,-0.1446818113327026,-0.8855173776048844,"[459.0, 334.0]"
normal_0043_EDD,1,4,0,normal,"[368.0, 163.0]",35.918785545899944,0.6425529003143311,0.0274872779846191,0.8714348077774048,-0.0253062844276428,-4.392887309338658,"[459.0, 334.0]"
normal_0044_EDD,0,3,9,normal,"[278.0, 230.0]",114.03503592196344,0.8553280770778656,0.1473334431648254,0.9764008522033693,-0.1225701868534088,0.7268837357484771,"[309.0, 227.0]"
normal_0044_EDD,1,4,9,normal,"[266.0, 316.0]",57.01751796098172,0.7822635412216187,0.0768584012985229,0.9820252656936646,-0.0899372696876525,-0.7335603842463485,"[309.0, 227.0]"
normal_0044_EDD,2,3,9,normal,"[278.0, 218.0]",90.50966799187808,0.7977421879768372,0.0835314393043518,0.9851924180984496,-0.1228802800178527,0.6433527434214585,"[309.0, 227.0]"
normal_0045_EDD,0,3,0,normal,"[422.0, 208.0]",90.50966799187808,0.8135277390480041,0.1040259599685669,0.977828860282898,-0.1251078844070434,0.2236874773568959,"[486.0, 237.0]"
normal_0045_EDD,1,1,0,normal,"[473.0, 196.0]",45.254833995939045,0.7790222346782684,0.0688682198524475,0.9869123101234436,-0.096576988697052,0.0495683546409031,"[486.0, 237.0]"
normal_0046_EDD,0,3,9,normal,"[298.0, 230.0]",114.03503592196344,0.8501801013946533,0.140896737575531,0.9887024164199828,-0.0859583616256713,0.6788735448615922,"[319.0, 200.0]"
normal_0046_EDD,1,4,9,normal,"[376.0, 213.0]",57.01751796098172,0.7406388938426971,0.036051332950592,0.9909738302230836,-0.0545293986797332,-0.0253631869591688,"[319.0, 200.0]"
normal_0047_EDD,0,2,9,normal,"[314.0, 210.0]",90.50966799187808,0.8594108402729034,0.1427006721496582,0.9814066290855408,-0.1486276388168335,0.9752947057799344,"[316.0, 209.0]"
normal_0048_EDD,0,2,9,normal,"[456.0, 212.0]",71.83757109179989,0.8271915137767791,0.1460930109024047,0.9352017641067504,-0.1322863399982452,0.7202055841147985,"[476.0, 214.0]"
normal_0048_EDD,1,4,9,normal,"[373.0, 170.0]",35.918785545899944,0.6533525884151459,0.0296064615249633,0.8847070336341858,-0.0222560167312622,-2.118269799339872,"[476.0, 214.0]"
normal_0049_EDD,0,1,9,normal,"[130.0, 192.0]",45.254833995939045,0.7510055124759674,0.0390874147415161,0.9818088412284852,-0.1232595443725586,0.8023576462394764,"[122.0, 188.0]"
normal_0049_EDD,1,4,9,normal,"[228.0, 190.0]",35.918785545899944,0.7354983389377593,0.03761887550354,0.975955843925476,-0.0735518634319305,-1.951627251152716,"[122.0, 188.0]"
normal_0049_EDD,2,4,9,normal,"[177.0, 297.0]",45.254833995939045,0.727370822429657,0.02386075258255,0.9810999035835266,-0.0837006866931915,-1.6978362278870818,"[122.0, 188.0]"
normal_0050_EDD,0,2,0,normal,"[282.0, 216.0]",90.50966799187808,0.8517423152923583,0.1428713202476501,0.970163106918335,-0.1487841010093689,0.3481359360936515,"[282.0, 275.0]"
normal_0051_EDD,0,1,9,normal,"[145.0, 182.0]",45.254833995939045,0.8035923898220062,0.1099176406860351,0.951332151889801,-0.1387112140655517,0.5133621405500801,"[131.0, 165.0]"
normal_0051_EDD,1,4,9,normal,"[283.0, 168.0]",35.918785545899944,0.6860725820064544,0.0434349775314331,0.9060546159744264,-0.0419968664646148,-3.232593058757881,"[131.0, 165.0]"
normal_0051_EDD,2,4,9,normal,"[238.0, 184.0]",35.918785545899944,0.6778859257698059,0.0271140933036804,0.9187375903129578,-0.0382775962352752,-2.0255428251132,"[131.0, 165.0]"
normal_0051_EDD,3,4,9,normal,"[244.0, 307.0]",35.918785545899944,0.6530074685811996,0.0267229080200195,0.8883489966392517,-0.0222013145685195,-4.05235668075065,"[131.0, 165.0]"
normal_0051_EDD,4,4,9,normal,"[270.0, 171.0]",45.254833995939045,0.6908598750829696,0.0485311150550842,0.90594220161438,-0.0408460944890975,-2.0743552423638354,"[131.0, 165.0]"
normal_0051_EDD,5,4,9,normal,"[104.0, 112.0]",362.0386719675124,0.6901554979383946,0.1707962751388549,0.7391254305839539,-0.0098571069538593,0.8357051496498977,"[131.0, 165.0]"
normal_0052_EDD,0,1,9,normal,"[308.0, 209.0]",45.254833995939045,0.7933219969272612,0.0911122560501098,0.9667550921440125,-0.1274058818817138,0.2980913298369937,"[293.0, 181.0]"
normal_0053_EDD,0,1,9,normal,"[495.0, 202.0]",35.918785545899944,0.8793722987174988,0.1635575890541076,0.9795832633972168,-0.1505321264266967,0.6434665515486087,"[505.0, 194.0]"
normal_0053_EDD,1,4,9,normal,"[373.0, 171.0]",57.01751796098172,0.7120528161525725,0.0577725172042846,0.9189645051956176,-0.0550257265567779,-1.3499585792955893,"[505.0, 194.0]"
normal_0054_EDD,0,3,9,normal,"[396.0, 220.0]",143.67514218359975,0.8014348745346068,0.1150239706039428,0.9674252271652222,-0.0460662245750427,0.21523000845712,"[508.0, 207.0]"
normal_0054_EDD,1,4,9,normal,"[381.0, 128.0]",35.918785545899944,0.7221296310424804,0.019865334033966,0.990830421447754,-0.0434150099754333,-3.164006011139392,"[508.0, 207.0]"
normal_0054_EDD,2,4,9,normal,"[238.0, 183.0]",35.918785545899944,0.7306296050548553,0.0226954817771911,0.994780957698822,-0.0579372644424438,-6.546596128854302,"[508.0, 207.0]"
normal_0054_EDD,3,4,9,normal,"[393.0, 256.0]",35.918785545899944,0.7110623896121978,0.0107300877571105,0.9924288392066956,-0.0281605720520019,-2.480184478293727,"[508.0, 207.0]"
normal_0054_EDD,4,4,9,normal,"[442.0, 344.0]",35.918785545899944,0.7252430111169815,0.0379586815834045,0.976049780845642,-0.0202474147081375,-3.233691672652164,"[508.0, 207.0]"
normal_0054_EDD,5,1,9,normal,"[496.0, 234.0]",45.254833995939045,0.7707598984241486,0.0700127482414245,0.9891223907470704,-0.0418073832988739,0.3471067995069944,"[508.0, 207.0]"
normal_0054_EDD,6,4,9,normal,"[401.0, 249.0]",45.254833995939045,0.711478579044342,0.0109446048736572,0.993031084537506,-0.0270610749721527,-1.5400118417538922,"[508.0, 207.0]"
normal_0054_EDD,7,4,9,normal,"[340.0, 156.0]",57.01751796098172,0.7429919064044952,0.0355036854743957,0.9935874938964844,-0.0598848760128021,-2.0792378367108326,"[508.0, 207.0]"
normal_0055_EDD,0,3,9,normal,"[204.0, 220.0]",143.67514218359975,0.8097126632928847,0.1156140565872192,0.9743521809577942,-0.0602604001760482,0.3880610297292679,"[121.0, 191.0]"
normal_0055_EDD,1,4,9,normal,"[272.0, 158.0]",45.254833995939045,0.7365579783916473,0.027649700641632,0.9947512149810792,-0.0629121363162994,-2.4154119901558,"[121.0, 191.0]"
normal_0055_EDD,2,2,9,normal,"[140.0, 175.0]",45.254833995939045,0.7311920940876007,0.0287815332412719,0.9941038489341736,-0.0326893329620361,0.4511197478046782,"[121.0, 191.0]"
normal_0056_EDD,0,3,9,normal,"[292.0, 240.0]",143.67514218359975,0.8578289628028869,0.154859721660614,0.9869832396507264,-0.0604048669338226,0.6947041517949544,"[322.0, 208.0]"
normal_0056_EDD,1,4,9,normal,"[383.0, 228.0]",57.01751796098172,0.7334055423736572,0.0301766395568847,0.9926303029060364,-0.0419384539127349,-0.1258823196538672,"[322.0, 208.0]"
normal_0056_EDD,2,3,9,normal,"[376.0, 228.0]",71.83757109179989,0.7462360858917236,0.0442903041839599,0.990769624710083,-0.0420352220535278,0.1984038530205115,"[322.0, 208.0]"
